,nn,sp_simp,Type,Species,Width,Height,sp_simp,Type,Species,Width,Height
400,0.694622199,men.spi,shrub,men.spi,40,20,cyl.ech,cactus,cyl.ech,46,34
482,0.696419414,men.spi,shrub,men.spi,45,23,amb.sal,shrub,amb.sal,53,73
505,0.707106781,men.spi,shrub,men.spi,86,45,u3,shrub,u3,51,45
533,0.430116263,men.spi,shrub,men.spi,50,42,ephedra,shrub,ephedra,165,60
2,0.353553391,PG,shrub,PG,79,65,ephedra,shrub,ephedra,48,52
10,0.585234995,PG,shrub,PG,153,106,tha.mon,shrub,tha.mon,70,37
80,0.540832691,PG,shrub,PG,135,78,amb.sal,shrub,amb.sal,26,35
268,1.74642492,PG,shrub,PG,109,75,u3,shrub,u3,28,30
358,0.948683298,PG,shrub,PG,145,106,u3,shrub,u3,49,31
3,0.935200513,sal.mex,shrub,s.mexicana,56,50,amb.sal,shrub,amb.sal,73,57
357,0.806225775,sal.mex,shrub,sal.mex,69,70,ephedra,shrub,ephedra,52,41
520,0.65,sal.mex,shrub,sal.mex,80,53,sal.mex,shrub,sal.mex,42,47
522,0.05,sal.mex,shrub,sal.mex,42,47,eri.fas,shrub,eri.fas,27,45
7,0.5,tha.mon,shrub,tha.mon,89,44,u3,shrub,u3,44,40
9,0.585234995,tha.mon,shrub,tha.mon,70,37,PG,shrub,PG,153,106
19,0,tha.mon,shrub,tha.mon,54,40,ephedra,shrub,ephedra,54,40
33,0.070710678,tha.mon,shrub,tha.mon,69,34,cyl.ram,cactus,cyl.ram,9,26
45,0.3,tha.mon,shrub,tha.mon,82,46,ephedra,shrub,ephedra,104,70
65,0.901387819,tha.mon,shrub,tha.mon,57,34,u3,shrub,u3,50,44
74,0.2,tha.mon,shrub,tha.mon,53,42,u3,shrub,u3,48,30
76,0.790569415,tha.mon,shrub,tha.mon,67,40,lar.tri,shrub,lar.tri,68,68
77,1.180042372,tha.mon,shrub,tha.mon,80,48,men.spi,shrub,men.spi,35,24
101,0.291547595,tha.mon,shrub,tha.mon,89,30,cyl.ram,cactus,cyl.ram,18,24
103,0.5,tha.mon,shrub,tha.mon,85,38,u3,shrub,u3,53,43
114,1.85,tha.mon,shrub,tha.mon,84,42,eri.fas,shrub,eri.fas,38,34
120,0.670820393,tha.mon,shrub,tha.mon,70,45,eri.coo,shrub,eri.coo,50,38
131,1.331352696,tha.mon,shrub,tha.mon,80,42,lar.tri,shrub,lar.tri,290,235
205,0.360555128,tha.mon,shrub,tha.mon,61,59,ephedra,shrub,ephedra,134,76
222,0.390512484,tha.mon,shrub,tha.mon,46,35,amb.sal,shrub,amb.sal,75,45
226,1.13137085,tha.mon,shrub,tha.mon,79,44,u3,shrub,u3,55,28
243,0.424264069,tha.mon,shrub,tha.mon,79,46,u3,shrub,u3,31,33
281,0.552268051,tha.mon,shrub,tha.mon,80,40,u3,shrub,u3,36,42
286,1.012422837,tha.mon,shrub,tha.mon,36,24,u3,shrub,u3,36,39
329,0,tha.mon,shrub,tha.mon,85,69,amb.sal,shrub,amb.sal,85,69
336,1.051189802,tha.mon,shrub,tha.mon,69,38,cyl.ram,cactus,cyl.ram,31,43
393,0.304138127,tha.mon,shrub,tha.mon,78,40,u3,shrub,u3,35,35
397,0.522015325,tha.mon,shrub,tha.mon,44,35,u3,shrub,u3,30,54
419,1.277693234,tha.mon,shrub,tha.mon,51,40,u3,shrub,u3,70,36
436,1.591383047,tha.mon,shrub,tha.mon,68,35,u3,shrub,u3,49,46
447,0.403112888,tha.mon,shrub,tha.mon,89,43,ephedra,shrub,ephedra,70,48
460,0.531507291,tha.mon,shrub,tha.mon,18,14,u3,shrub,u3,52,39
471,1.101135777,tha.mon,shrub,tha.mon,88,42,cyl.ram,cactus,cyl.ram,61,58
478,1.051189802,tha.mon,shrub,tha.mon,89,50,u3,shrub,u3,74,33
495,1.236931688,tha.mon,shrub,tha.mon,36,22,amb.sal,shrub,amb.sal,80,50
508,0.304138126,tha.mon,shrub,tha.mon,66,28,u3,shrub,u3,56,36
534,0.206155281,tha.mon,shrub,tha.mon,60,30,tha.mon,shrub,tha.mon,35,26
535,0.206155281,tha.mon,shrub,tha.mon,35,26,tha.mon,shrub,tha.mon,60,30
453,1.25399362,u2,shrub,u2,56,34,u3,shrub,u3,50,38
6,0,u3,shrub,u3,44,40,u3,shrub,u3,44,40
8,0,u3,shrub,u3,44,40,u3,shrub,u3,44,40
15,0.565685425,u3,shrub,u3,40,38,amb.sal,shrub,amb.sal,46,45
17,1.101135777,u3,shrub,u3,41,47,u3,shrub,u3,80,45
18,1.101135777,u3,shrub,u3,80,45,u3,shrub,u3,41,47
22,0.670820393,u3,shrub,u3,45,30,tha.mon,shrub,tha.mon,54,40
24,0.585234995,u3,shrub,u3,38,30,u3,shrub,u3,23,17
25,0.585234995,u3,shrub,u3,23,17,u3,shrub,u3,38,30
28,0.632455532,u3,shrub,u3,25,44,dense.u3,shrub,dense.u3,50,50
30,0.602079729,u3,shrub,u3,40,41,u3,shrub,u3,68,42
31,0.602079729,u3,shrub,u3,68,42,u3,shrub,u3,40,41
32,0.7,u3,shrub,u3,45,50,u3,shrub,u3,68,42
37,0.380788655,u3,shrub,u3,64,18,tha.mon,shrub,tha.mon,69,34
38,1.106797181,u3,shrub,u3,29,45,yuc.sch,yucca,yuc.sch,66,65
41,1.15,u3,shrub,u3,68,35,yuc.sch,yucca,yuc.sch,66,65
50,0.427200188,u3,shrub,u3,72,59,cyl.ech,cactus,cyl.ech,19,43
51,0.939414711,u3,shrub,u3,39,31,u3,shrub,u3,72,59
52,0.806225775,u3,shrub,u3,29,42,u3,shrub,u3,45,30
54,0.304138127,u3,shrub,u3,23,36,u3,shrub,u3,45,30
55,0.304138127,u3,shrub,u3,45,30,u3,shrub,u3,23,36
56,0.87321246,u3,shrub,u3,45,33,u3,shrub,u3,46,40
57,0.715891053,u3,shrub,u3,46,40,u3,shrub,u3,60,43
58,0.776208735,u3,shrub,u3,46,50,u3,shrub,u3,60,43
59,0.206155281,u3,shrub,u3,60,43,u3,shrub,u3,15,33
60,1.209338662,u3,shrub,u3,70,52,u3,shrub,u3,60,43
61,0.206155281,u3,shrub,u3,15,33,u3,shrub,u3,60,43
64,0.901387819,u3,shrub,u3,50,44,tha.mon,shrub,tha.mon,57,34
66,2.229910312,u3,shrub,u3,58,35,tha.mon,shrub,tha.mon,57,34
72,1.019803903,u3,shrub,u3,74,43,ephedra,shrub,ephedra,73,44
75,0.2,u3,shrub,u3,48,30,tha.mon,shrub,tha.mon,53,42
86,0.855862138,u3,shrub,u3,36,34,u3,shrub,u3,40,39
87,1.104536101,u3,shrub,u3,22,28,u3,shrub,u3,40,39
88,0.26925824,u3,shrub,u3,40,39,u3,shrub,u3,45,43
89,0.26925824,u3,shrub,u3,45,43,u3,shrub,u3,40,39
90,0.3,u3,shrub,u3,45,43,u3,shrub,u3,45,43
91,0.6,u3,shrub,u3,37,39,amb.sal,shrub,amb.sal,94,73
93,0.585234996,u3,shrub,u3,58,45,amb.sal,shrub,amb.sal,94,73
94,0.820060973,u3,shrub,u3,47,27,lar.tri,shrub,lar.tri,470,208
95,0.471699057,u3,shrub,u3,30,35,u3,shrub,u3,40,24
96,0.471699057,u3,shrub,u3,40,24,u3,shrub,u3,30,35
99,0.602079729,u3,shrub,u3,45,43,ephedra,shrub,ephedra,147,62
105,1.360147051,u3,shrub,u3,42,43,u3,shrub,u3,63,55
109,0.743303437,u3,shrub,u3,90,32,ephedra,shrub,ephedra,125,62
110,1.507481343,u3,shrub,u3,90,57,u3,shrub,u3,47,46
112,0.640312424,u3,shrub,u3,47,46,u3,shrub,u3,44,43
113,0.640312424,u3,shrub,u3,44,43,u3,shrub,u3,47,46
116,1.650757402,u3,shrub,u3,41,34,u3,shrub,u3,38,49
117,1.201041215,u3,shrub,u3,38,49,eri.coo,shrub,eri.coo,50,38
118,0.863133825,u3,shrub,u3,17,25,cyl.ram,cactus,cyl.ram,123,122
121,1.012422837,u3,shrub,u3,38,35,u3,shrub,u3,38,30
122,1.012422837,u3,shrub,u3,38,30,u3,shrub,u3,38,35
123,0.610327781,u3,shrub,u3,46,40,eri.fas,shrub,eri.fas,38,34
129,0.570087713,u3,shrub,u3,32,35,dense.u3,shrub,dense.u3,76,47
130,2.015564437,u3,shrub,u3,18,30,eri.fas,shrub,eri.fas,16,15
136,1.386542462,u3,shrub,u3,45,38,ephedra,shrub,ephedra,98,42
137,1.423024947,u3,shrub,u3,36,42,u3,shrub,u3,66,56
138,0.5,u3,shrub,u3,66,56,u3,shrub,u3,39,36
139,0.5,u3,shrub,u3,39,36,u3,shrub,u3,66,56
140,0.509901951,u3,shrub,u3,86,46,u3,shrub,u3,39,36
142,1.308625233,u3,shrub,u3,15,32,u3,shrub,u3,66,56
146,1.229837387,u3,shrub,u3,44,38,cyl.ram,cactus,cyl.ram,87,68
148,0.824621125,u3,shrub,u3,18,28,ephedra,shrub,ephedra,149,66
150,1.360147051,u3,shrub,u3,63,55,u3,shrub,u3,42,43
151,0.670820393,u3,shrub,u3,41,36,u3,shrub,u3,65,43
152,0.680073526,u3,shrub,u3,90,44,u3,shrub,u3,41,36
153,0.15,u3,shrub,u3,65,43,cyl.ech,cactus,cyl.ech,34,33
155,1.030776406,u3,shrub,u3,53,33,u3,shrub,u3,53,43
156,0.25,u3,shrub,u3,30,45,u3,shrub,u3,36,44
157,0.474341649,u3,shrub,u3,53,43,u3,shrub,u3,64,36
158,0.474341649,u3,shrub,u3,64,36,u3,shrub,u3,53,43
159,0.430116263,u3,shrub,u3,39,31,lar.tri,shrub,lar.tri,28,23
162,0.180277564,u3,shrub,u3,64,46,cyl.ram,cactus,cyl.ram,38,53
164,0.756637298,u3,shrub,u3,48,42,amb.sal,shrub,amb.sal,86,79
165,0.25,u3,shrub,u3,36,44,u3,shrub,u3,30,45
168,1.063014581,u3,shrub,u3,45,45,u3,shrub,u3,69,52
169,1.063014581,u3,shrub,u3,69,52,u3,shrub,u3,45,45
170,0.961769203,u3,shrub,u3,42,40,ephedra,shrub,ephedra,132,60
171,1.236931687,u3,shrub,u3,35,26,ephedra,shrub,ephedra,132,60
175,0.304138126,u3,shrub,u3,78,39,u3,shrub,u3,49,47
176,0.460977223,u3,shrub,u3,32,34,u3,shrub,u3,19,23
177,0.460977223,u3,shrub,u3,19,23,u3,shrub,u3,32,34
181,0.304138126,u3,shrub,u3,49,47,u3,shrub,u3,78,39
182,0.781024967,u3,shrub,u3,31,40,u3,shrub,u3,65,38
183,0.460977223,u3,shrub,u3,65,38,u3,shrub,u3,18,17
184,0.460977223,u3,shrub,u3,18,17,u3,shrub,u3,65,38
186,0.55,u3,shrub,u3,42,46,amb.sal,shrub,amb.sal,97,67
187,0.75,u3,shrub,u3,35,48,ephedra,shrub,ephedra,138,60
189,0.996242942,u3,shrub,u3,48,38,ephedra,shrub,ephedra,138,60
190,0.452769257,u3,shrub,u3,80,65,u3,shrub,u3,46,47
191,0.452769257,u3,shrub,u3,46,47,u3,shrub,u3,80,65
192,1.382931669,u3,shrub,u3,45,40,u3,shrub,u3,90,44
195,1.952562419,u3,shrub,u3,49,38,ephedra,shrub,ephedra,137,75
196,0.85,u3,shrub,u3,36,20,u3,shrub,u3,65,38
200,0.608276253,u3,shrub,u3,50,40,u3,shrub,u3,57,40
201,1.202081528,u3,shrub,u3,53,43,ephedra,shrub,ephedra,74,66
202,0.608276253,u3,shrub,u3,57,40,u3,shrub,u3,50,40
203,0.5,u3,shrub,u3,66,44,ephedra,shrub,ephedra,74,66
206,1.077032961,u3,shrub,u3,72,46,tha.mon,shrub,tha.mon,61,59
209,0.559016994,u3,shrub,u3,60,47,amb.sal,shrub,amb.sal,72,53
211,1.476482306,u3,shrub,u3,38,27,amb.sal,shrub,amb.sal,72,53
214,0.75,u3,shrub,u3,47,29,u3,shrub,u3,47,38
215,0.75,u3,shrub,u3,47,38,u3,shrub,u3,47,29
216,0.75,u3,shrub,u3,76,38,u3,shrub,u3,50,47
217,0.6946222,u3,shrub,u3,50,47,u3,shrub,u3,49,54
218,0.6946222,u3,shrub,u3,49,54,u3,shrub,u3,50,47
219,0.827647268,u3,shrub,u3,54,40,u3,shrub,u3,50,47
220,0.570087713,u3,shrub,u3,14,31,men.spi,shrub,men.spi,71,49
227,1.820027472,u3,shrub,u3,55,46,tha.mon,shrub,tha.mon,79,44
228,1.13137085,u3,shrub,u3,55,28,tha.mon,shrub,tha.mon,79,44
232,0.986154146,u3,shrub,u3,65,56,ephedra,shrub,ephedra,144,70
242,0.212132035,u3,shrub,u3,98,55,lar.tri,shrub,lar.tri,183,122
244,0.424264069,u3,shrub,u3,31,33,tha.mon,shrub,tha.mon,79,46
247,0.764852927,u3,shrub,u3,48,46,u3,shrub,u3,31,35
248,0.743303437,u3,shrub,u3,31,35,ephedra,shrub,ephedra,134,76
249,0.921954446,u3,shrub,u3,38,42,cyl.ech,cactus,cyl.ech,30,30
251,0.884590301,u3,shrub,u3,45,45,noID,shrub,?,56,31
253,0.25,u3,shrub,u3,57,41,ephedra,shrub,ephedra,77,62
254,1.523975065,u3,shrub,u3,55,53,u3,shrub,u3,57,41
257,1.09658561,u3,shrub,u3,49,45,u3,shrub,u3,53,50
258,0.424264069,u3,shrub,u3,53,50,men.spi,shrub,men.spi,62,30
260,0.761577311,u3,shrub,u3,60,29,u3,shrub,u3,60,43
261,0.761577311,u3,shrub,u3,60,43,u3,shrub,u3,60,29
264,0.763216876,u3,shrub,u3,47,56,amb.sal,shrub,amb.sal,51,59
266,0.15,u3,shrub,u3,51,59,amb.sal,shrub,amb.sal,51,59
267,0.960468636,u3,shrub,u3,28,30,u3,shrub,u3,51,59
270,1.533786165,u3,shrub,u3,45,40,men.spi,shrub,men.spi,17,15
272,0.855862138,u3,shrub,u3,66,50,men.spi,shrub,men.spi,86,46
282,0.552268051,u3,shrub,u3,36,42,tha.mon,shrub,tha.mon,80,40
284,1.012422837,u3,shrub,u3,36,39,tha.mon,shrub,tha.mon,36,24
285,0.636396103,u3,shrub,u3,26,23,amb.sal,shrub,amb.sal,136,58
287,1.1,u3,shrub,u3,85,44,tha.mon,shrub,tha.mon,36,24
290,0,u3,shrub,u3,8,47,cyl.ram,cactus,cyl.ram,47,75
293,1.57876534,u3,shrub,u3,48,36,cyl.ram,cactus,cyl.ram,47,75
298,0.680073525,u3,shrub,u3,48,40,u3,shrub,u3,37,28
301,1.092016483,u3,shrub,u3,0,NA,noID,shrub,?,30,32
305,0.1,u3,shrub,u3,45,52,cyl.ram,cactus,cyl.ram,46,65
307,0.583095189,u3,shrub,u3,37,28,cyl.ram,cactus,cyl.ram,46,65
309,1.26589889,u3,shrub,u3,62,40,u3,shrub,u3,79,42
310,1.26589889,u3,shrub,u3,79,42,u3,shrub,u3,62,40
313,1.060660172,u3,shrub,u3,84,37,amb.sal,shrub,amb.sal,124,49
314,0.95,u3,shrub,u3,64,46,u3,shrub,u3,56,44
315,0.5,u3,shrub,u3,56,44,u3,shrub,u3,52,43
316,0.5,u3,shrub,u3,52,43,u3,shrub,u3,56,44
320,0.25,u3,shrub,u3,47,43,lar.tri,shrub,lar.tri,330,185
321,0.403112887,u3,shrub,u3,42,55,lar.tri,shrub,lar.tri,330,185
323,0.180277564,u3,shrub,u3,71,49,cyl.ech,cactus,cyl.ech,24,42
324,0.502493781,u3,shrub,u3,42,32,u3,shrub,u3,71,49
325,0.25,u3,shrub,u3,30,54,lar.tri,shrub,lar.tri,11,10
334,0.180277564,u3,shrub,u3,67,40,cyl.ram,cactus,cyl.ram,31,43
337,1.081665383,u3,shrub,u3,64,36,u3,shrub,u3,30,31
338,0.65,u3,shrub,u3,30,31,u3,shrub,u3,66,47
339,0.65,u3,shrub,u3,66,47,u3,shrub,u3,30,31
342,0.206155281,u3,shrub,u3,33,37,u3,shrub,u3,37,28
343,0.206155281,u3,shrub,u3,37,28,u3,shrub,u3,33,37
346,0.452769257,u3,shrub,u3,41,43,ephedra,shrub,ephedra,155,68
349,0.970824392,u3,shrub,u3,47,36,yuc.sch,yucca,yuc.sch,76,66
351,0.728010989,u3,shrub,u3,56,35,u3,shrub,u3,78,55
352,0.728010989,u3,shrub,u3,78,55,u3,shrub,u3,56,35
354,0.763216876,u3,shrub,u3,61,38,amb.sal,shrub,amb.sal,111,73
359,0.948683298,u3,shrub,u3,49,31,PG,shrub,PG,145,106
360,0.65,u3,shrub,u3,74,44,cyl.ech,cactus,cyl.ech,38,35
362,0.657647322,u3,shrub,u3,34,35,u3,shrub,u3,70,61
363,0.111803399,u3,shrub,u3,70,61,cyl.ech,cactus,cyl.ech,26,32
366,0.55,u3,shrub,u3,23,35,ephedra,shrub,ephedra,120,49
368,0.223606798,u3,shrub,u3,51,40,cyl.ech,cactus,cyl.ech,10,15
371,0.992471662,u3,shrub,u3,97,43,cyl.ech,cactus,cyl.ech,32,27
373,1.077032961,u3,shrub,u3,85,45,cyl.ech,cactus,cyl.ech,32,27
374,1.54029218,u3,shrub,u3,83,55,lar.tri,shrub,lar.tri,153,229
376,1.364734406,u3,shrub,u3,49,44,men.spi,shrub,men.spi,16,10
379,1.274754878,u3,shrub,u3,56,48,men.spi,shrub,men.spi,16,10
381,1.236931688,u3,shrub,u3,34,24,lar.tri,shrub,lar.tri,134,74
384,0.380788655,u3,shrub,u3,87,53,ephedra,shrub,ephedra,87,60
385,0.610327781,u3,shrub,u3,75,49,cyl.ech,cactus,cyl.ech,32,37
386,0.640312424,u3,shrub,u3,75,49,u3,shrub,u3,15,20
387,0.640312424,u3,shrub,u3,15,20,u3,shrub,u3,75,49
392,0.304138127,u3,shrub,u3,35,35,tha.mon,shrub,tha.mon,78,40
394,0.531507291,u3,shrub,u3,22,24,tha.mon,shrub,tha.mon,78,40
395,1.411559421,u3,shrub,u3,88,50,men.spi,shrub,men.spi,37,17
398,1.47732867,u3,shrub,u3,42,43,u3,shrub,u3,79,55
401,1.47732867,u3,shrub,u3,79,55,u3,shrub,u3,42,43
404,1.133578405,u3,shrub,u3,94,48,noID,shrub,?,40,33
407,0.95,u3,shrub,u3,75,54,u3,shrub,u3,36,38
408,0.95,u3,shrub,u3,36,38,u3,shrub,u3,75,54
410,1.802775638,u3,shrub,u3,57,54,yuc.sch,yucca,yuc.sch,150,185
415,1.217579566,u3,shrub,u3,73,36,cyl.ram,cactus,cyl.ram,80,60
416,0.743303437,u3,shrub,u3,81,44,amb.sal,shrub,amb.sal,69,74
418,1.277693234,u3,shrub,u3,70,36,tha.mon,shrub,tha.mon,51,40
426,0.364005494,u3,shrub,u3,27,41,amb.sal,shrub,amb.sal,83,62
427,0.460977223,u3,shrub,u3,34,39,u3,shrub,u3,27,41
428,0.460977223,u3,shrub,u3,80,35,u3,shrub,u3,27,41
429,1.503329638,u3,shrub,u3,72,59,lar.tri,shrub,lar.tri,287,192
431,1.520690633,u3,shrub,u3,89,48,lar.tri,shrub,lar.tri,193,171
435,1.180042372,u3,shrub,u3,51,45,lar.tri,shrub,lar.tri,193,171
437,0.672681202,u3,shrub,u3,42,33,u3,shrub,u3,71,47
438,0.672681202,u3,shrub,u3,71,47,u3,shrub,u3,42,33
439,0.55,u3,shrub,u3,49,46,ephedra,shrub,ephedra,97,56
441,1.523154621,u3,shrub,u3,70,47,u3,shrub,u3,75,54
442,1.523154621,u3,shrub,u3,75,54,u3,shrub,u3,70,47
452,0.901387819,u3,shrub,u3,50,38,lar.tri,shrub,lar.tri,304,206
454,3.628015986,u3,shrub,u3,36,35,u3,shrub,u3,75,54
459,0.531507291,u3,shrub,u3,52,39,tha.mon,shrub,tha.mon,18,14
461,0.707106781,u3,shrub,u3,31,30,u3,shrub,u3,64,54
462,0.531507291,u3,shrub,u3,64,54,amb.sal,shrub,amb.sal,67,59
464,0.992471662,u3,shrub,u3,58,29,amb.sal,shrub,amb.sal,67,59
465,0.901387819,u3,shrub,u3,45,29,u3,shrub,u3,90,63
466,0.777817459,u3,shrub,u3,90,63,amb.sal,shrub,amb.sal,73,60
468,0.335410196,u3,shrub,u3,38,26,amb.sal,shrub,amb.sal,73,60
473,0.320156212,u3,shrub,u3,47,46,amb.sal,shrub,amb.sal,58,80
480,0.15,u3,shrub,u3,74,33,cyl.ech,cactus,cyl.ech,64,50
481,0.832165849,u3,shrub,u3,46,36,men.spi,shrub,men.spi,45,23
484,0.25,u3,shrub,u3,94,53,cyl.ech,cactus,cyl.ech,72,53
493,0.380788655,u3,shrub,u3,33,40,cyl.ram,cactus,cyl.ram,103,112
498,0.070710678,u3,shrub,u3,52,24,cyl.ech,cactus,cyl.ech,30,31
501,0.509901951,u3,shrub,u3,50,33,amb.sal,shrub,amb.sal,57,50
503,1.47732867,u3,shrub,u3,65,42,u3,shrub,u3,42,46
504,1.47732867,u3,shrub,u3,42,46,u3,shrub,u3,65,42
506,0.707106781,u3,shrub,u3,51,45,men.spi,shrub,men.spi,86,45
507,0.304138126,u3,shrub,u3,56,36,tha.mon,shrub,tha.mon,66,28
509,0.1,u3,shrub,u3,71,49,u3,shrub,u3,67,45
510,1.044030651,u3,shrub,u3,99,56,cyl.ech,cactus,cyl.ech,30,31
511,1.081665383,u3,shrub,u3,42,32,u3,shrub,u3,93,52
512,1.054751155,u3,shrub,u3,50,28,amb.sal,shrub,amb.sal,76,60
519,0.806225775,u3,shrub,u3,46,37,amb.sal,shrub,amb.sal,65,60
523,1.676305462,u3,shrub,u3,74,44,eri.fas,shrub,eri.fas,27,45
526,0.640312424,u3,shrub,u3,56,32,lar.tri,shrub,lar.tri,140,100
527,0.1,u3,shrub,u3,44,45,lar.tri,shrub,lar.tri,140,100
537,1.030776406,u3,shrub,u3,56,41,noID,shrub,?,74,45
540,1.167261753,u3,shrub,u3,50,33,cyl.ram,cactus,cyl.ram,68,80
546,0.618465844,u3,shrub,u3,70,58,amb.sal,shrub,amb.sal,79,70
549,1.484082208,u3,shrub,u3,112,57,ephedra,shrub,ephedra,76,45
550,0.81394103,u3,shrub,u3,52,35,yuc.sch,yucca,yuc.sch,166,155
551,1.081665383,u3,shrub,u3,93,52,u3,shrub,u3,42,32
552,0.1,u3,shrub,u3,67,45,u3,shrub,u3,71,49
42,0.552268051,noID,shrub,u3?,32,27,noID,shrub,?,8,20
304,0.955248659,noID,shrub,u3?,64,35,men.spi,shrub,men.spi,40,18
39,1.106797181,yuc.sch,yucca,yuc.sch,66,65,u3,shrub,u3,29,45
53,0.955248659,yuc.sch,yucca,yuc.sch,220,175,u3,shrub,u3,29,42
143,0.320156212,yuc.sch,yucca,yuc.sch,122,132,ephedra,shrub,ephedra,149,66
167,1.185326959,yuc.sch,yucca,yuc.sch,170,151,u3,shrub,u3,42,40
198,1.063014581,yuc.sch,yucca,yuc.sch,319,240,ephedra,shrub,ephedra,67,30
212,1.210371843,yuc.sch,yucca,yuc.sch,290,297,amb.sal,shrub,amb.sal,89,66
269,1.166190379,yuc.sch,yucca,yuc.sch,258,240,ephedra,shrub,ephedra,112,60
350,0.970824392,yuc.sch,yucca,yuc.sch,76,66,u3,shrub,u3,47,36
409,1.802775638,yuc.sch,yucca,yuc.sch,150,185,u3,shrub,u3,57,54
413,0.494974747,yuc.sch,yucca,yuc.sch,185,235,noID,shrub,?,84,65
420,1.761391495,yuc.sch,yucca,yuc.sch,102,128,u3,shrub,u3,80,35
530,0.6,yuc.sch,yucca,yuc.sch,166,155,amb.sal,shrub,amb.sal,85,60
544,0.364005495,yuc.sch,yucca,yuc.sch,38,32,ephedra,shrub,ephedra,54,44
